symbol,topic,horizon_h,n,mean_ret,abn_ret,mean_abs_ret,t,tone_hit,tone_n
HYPE,fed_macro,24,8,0.015892820514600003,0.012813164590789766,0.015892820514600003,1.6130538438393727,0.0,8
XRP,crypto,1,13,0.003962231141633137,0.004018305648273927,0.006943639207622463,1.594843050765369,0.3076923076923077,13
BTC,fed_macro,24,8,0.014500283326639288,0.015778380699666084,0.021572643772801645,1.585417022898143,0.375,8
BTC,crypto,1,13,0.0026648156298521106,0.002715949541234086,0.005193540393142468,1.5512521090109965,0.3076923076923077,13
SOL,fed_macro,1,8,0.008097837512559533,0.008170179167349582,0.01009894248500516,1.5409010475512113,0.375,8
xyz_SNDK,fed_macro,1,8,-0.004555535323204199,-0.0069208188214316645,0.006992581339007223,-1.5359050926002271,0.625,8
xyz_SILVER,commodities,4,13,-0.011164405709075108,-0.011693673292951852,0.018223021984021728,-1.5347117380770428,0.5384615384615384,13
NEAR,geopolitics,24,8,0.0297222458159392,0.02865852073209353,0.04397833705492314,1.53147033482961,0.125,8
ETH,fed_macro,24,8,0.026429174172163034,0.027136291220170236,0.0408923460785349,1.5241509624691354,0.375,8
BTC,crypto,4,13,0.003624846707036846,0.0038304248270069874,0.006154477251880197,1.5163560068123574,0.46153846153846156,13
xyz_BRENTOIL,fed_macro,1,8,0.002172788911920534,0.002104143062222394,0.0029054169583536543,1.5089287991954359,0.375,8
xyz_MU,commodities,24,12,0.04177811158114999,0.009422548527634335,0.08156671053588095,1.5062127146157895,0.3333333333333333,12
xyz_SP500,geopolitics,4,8,0.003588522950677353,0.0031349294606774344,0.0052455114786646995,1.5055405722200514,0.375,8
ETH,crypto,1,13,0.003355824916204504,0.0033854937938346905,0.006681618248264247,1.498750989740138,0.38461538461538464,13
xyz_SP500,commodities,24,12,0.00391688129639219,0.0009370051403498076,0.008310060698698551,1.4911514280615998,0.25,12
NEAR,crypto,1,13,0.004649290477939016,0.0046122489874975735,0.009591262000545652,1.4839857213416991,0.23076923076923078,13
xyz_XYZ100,fed_macro,24,8,0.008451833367301445,0.004222375703824674,0.014427946905855735,1.4733265240526867,0.375,8
CRV,crypto,1,13,0.005427007688567691,0.005472700216237044,0.012156332590564726,1.468175833652053,0.23076923076923078,13
xyz_MU,geopolitics,24,8,0.04286853085084576,0.010512967797330103,0.07684970782784471,1.439819391557011,0.375,8
CRV,fed_macro,4,8,0.008666010187528758,0.008864755582408864,0.015142575512805692,1.4254768990202025,0.25,8
xyz_SNDK,crypto,1,13,0.004719203155306726,0.00235391965707926,0.010519246522232871,1.4189655979280795,0.38461538461538464,13
SUI,geopolitics,1,8,0.005610414595632704,0.005730118155157228,0.009614123278405287,1.4056609537339952,0.375,8
CRV,geopolitics,24,8,0.02779604265266941,0.02938640966422284,0.04386332246995514,1.4003032442770815,0.375,8
xyz_CL,fed_macro,1,8,0.0019889740015844315,0.001927112156848041,0.002557566050399418,1.398907649389386,0.375,8
NEAR,fed_macro,24,8,0.03715654947238628,0.03609282438854061,0.052009163207867526,1.3896152096067242,0.375,8
NEAR,crypto,4,13,0.006922681769846886,0.006775968761260827,0.011591830019661499,1.3879934032637358,0.46153846153846156,13
xyz_NATGAS,crypto,4,13,-0.00527135198348049,-0.0053692578020063855,0.01026886470506546,-1.3797313283311448,0.7692307692307693,13
SOL,fed_macro,24,8,0.025623962905294576,0.02735172303063831,0.04015278423335182,1.3737740705228716,0.25,8
WLD,fed_macro,24,8,0.021999324478244195,0.02204816872272118,0.03780626950362782,1.3544621865817816,0.25,8
SUI,geopolitics,24,8,0.023974775075541035,0.026764511503506234,0.04067033040616479,1.3276054656761853,0.25,8
SOL,geopolitics,1,8,0.0043766245479977955,0.004448966202787845,0.0070715878214683975,1.3265045225318832,0.25,8
xyz_XYZ100,commodities,24,12,0.006645521338653454,0.002416063675176683,0.014504259086011967,1.3111911836249335,0.3333333333333333,12
xyz_MU,crypto,1,13,0.00509194114856596,0.003798986391162106,0.010145143190585477,1.3074999576873985,0.38461538461538464,13
XRP,fed_macro,1,8,0.00491288192536618,0.004968956432006971,0.006790802299474846,1.3025059907855419,0.25,8
XRP,crypto,4,13,0.005277760867191015,0.005503711397534181,0.010883617453171585,1.3022544781162366,0.38461538461538464,13
xyz_XYZ100,geopolitics,4,8,0.003940647393791741,0.003293932759580437,0.005989103025075937,1.2997844518182518,0.375,8
xyz_GOLD,crypto,24,13,0.005094183196166528,0.004063986070522423,0.012486642327669922,1.2964990024546965,0.46153846153846156,13
SUI,fed_macro,4,8,0.00986965906152587,0.010344489684481418,0.019794257435326645,1.2917863058038086,0.125,8
WLD,crypto,1,13,0.0051647352932430255,0.0051670956734099415,0.01098635820154387,1.2830620531791397,0.3076923076923077,13
NEAR,geopolitics,1,8,0.004805144675415179,0.004768103184973737,0.008739657838595566,1.2647313465191483,0.375,8
WLD,fed_macro,1,8,0.005750619291404982,0.005752979671571898,0.01010256686993842,1.2560102970943352,0.375,8
xyz_SILVER,crypto,4,13,0.00504551771625894,0.004516250132382197,0.011826591285328694,1.253898412614422,0.38461538461538464,13
ZEC,geopolitics,1,8,0.005653894054246461,0.005266247467748727,0.01165889275878787,1.2495705242291382,0.25,8
NEAR,fed_macro,4,8,0.005509115158095004,0.005362402149508946,0.011295962090233966,1.2251266925705133,0.25,8
xyz_SP500,crypto,1,13,0.0006171267503309874,0.0005057383338000711,0.0015845735076942193,1.2032645659960546,0.23076923076923078,13
xyz_SP500,commodities,1,12,0.0010346213439337653,0.0009232329274028489,0.0018898279250889975,1.1994086686216994,0.3333333333333333,12
xyz_XYZ100,commodities,4,12,0.0018732188026708747,0.001226504168459571,0.0045307893814288585,1.1978242433017492,0.4166666666666667,12
CRV,geopolitics,1,8,0.003937707873971477,0.003983400401640831,0.007620959338721464,1.183172380547751,0.25,8
xyz_MU,geopolitics,4,8,0.01344147126673921,0.008232538197547655,0.023535829359550245,1.1769925156087067,0.25,8
xyz_MU,fed_macro,24,8,0.02341672377930451,-0.008938839274211144,0.04919453655769676,1.1605721780865592,0.25,8
CRV,commodities,1,13,0.0035460114537955,0.003591703981464853,0.007808150451658502,1.1472896878585161,0.46153846153846156,13
