symbol,topic,horizon_h,n,mean_ret,abn_ret,mean_abs_ret,t,tone_hit,tone_n
xyz_XYZ100,geopolitics,1,8,0.00019861772140085387,3.873033804797704e-05,0.0019468205174787284,0.1999479393491396,0.5,8
NEAR,commodities,4,13,0.0016513135835133962,0.0015046005749273373,0.020246353489553528,0.1983967831067165,0.6153846153846154,13
xyz_BRENTOIL,geopolitics,1,8,-0.00042114997347179883,-0.000489795823169939,0.003739989028653898,-0.19207272315562296,0.375,8
xyz_XYZ100,fed_macro,1,8,7.735904528521909e-05,-8.252833806765775e-05,0.0008411986488835455,0.1903620129872921,0.375,8
HYPE,commodities,4,13,0.001542259026251423,0.0010332735208519613,0.018315947330636344,0.18902306742913452,0.3076923076923077,13
xyz_SP500,fed_macro,1,8,-5.627472289039537e-05,-0.0001676631394213117,0.0006501856883345397,-0.1873771752948465,0.5,8
CRV,crypto,24,13,-0.0022034566403134914,-0.0006130896287600645,0.033425119788705326,-0.18232460096881842,0.5384615384615384,13
xyz_GOLD,fed_macro,24,8,-0.0008711403624784564,-0.0019013374881225605,0.00980765984352186,-0.16897894482497372,0.5,8
XRP,commodities,1,13,-0.00040854909140061095,-0.00035247458475982,0.006244941320117488,-0.1618620398531955,0.6923076923076923,13
xyz_BRENTOIL,geopolitics,4,8,0.0004494379441081914,0.00018673837848603856,0.006304645911568416,0.13663539383993087,0.5,8
xyz_SILVER,geopolitics,4,8,-0.0005513825705665137,-0.001080650154443257,0.009679123214510685,-0.13567934670621545,0.5,8
SOL,crypto,24,13,-0.001003980523038961,0.0007237796023047743,0.01896530406850061,-0.13492033015793342,0.5384615384615384,13
BTC,crypto,24,13,-0.0007026270476847648,0.0005754703253420306,0.012771000606457349,-0.13209963124127597,0.46153846153846156,13
SUI,commodities,1,13,-0.00046063272603213967,-0.00034092916650761517,0.009787299413329129,-0.11780663478863036,0.6153846153846154,13
SOL,commodities,1,13,0.0003375051985654832,0.0004098468533555324,0.007035259271119596,0.10460267053331977,0.6153846153846154,13
WLD,commodities,4,13,-0.0007916172050213,-0.0007912328950325925,0.023648078920470852,-0.0844504104839973,0.5384615384615384,13
ZEC,fed_macro,1,8,-0.00028682727718719325,-0.0006744738636849272,0.007331441357083288,-0.07244896163505991,0.625,8
xyz_MU,commodities,4,12,0.0004160037456702274,-0.004792929323521328,0.018270543202738094,0.06786753681845774,0.5833333333333334,12
ZEC,fed_macro,4,8,-0.00023634271079622793,-0.0017718757455885527,0.011044762728471241,-0.051586580218774575,0.375,8
xyz_NATGAS,fed_macro,24,8,-0.000746615532728756,-0.0012595761912274316,0.036853968376354185,-0.044503904636826984,0.375,8
xyz_BRENTOIL,fed_macro,4,8,-4.94811516718735e-05,-0.0003121807172940263,0.004412801168494254,-0.026614883329590215,0.625,8
SOL,commodities,4,13,0.00014479781280668942,0.00043300068290067146,0.015718099063959594,0.02242006976927693,0.46153846153846156,13
ZEC,commodities,24,13,0.0003250617001889863,-0.009501428621893538,0.06470160065580913,0.014251684725018475,0.46153846153846156,13
SUI,commodities,4,13,-0.00010983920269858061,0.00036499142025696703,0.02136439141380235,-0.014126888553881504,0.46153846153846156,13
xyz_NATGAS,fed_macro,1,8,-1.0281153295002565e-05,-4.724453089647856e-05,0.002074702577203283,-0.010660774356390868,0.625,8
